latitude,longitude,altitude,distance
-13.48094,131.36418,85.1,155909.0
-13.48497,131.36687,88.1,156445.0
-13.485737,131.367288,88.0,156542.0
-13.493838,131.371697,94.8,157562.0
-13.49526,131.37247,94.0,157741.0
-13.49585,131.37279,94.8,157816.0
-13.49651,131.37315,94.3,157899.0
-13.50162,131.376597,102.0,158581.0
-13.5021,131.377013,101.9,158650.0
-13.503185,131.378035,102.9,158814.0
-13.505475,131.380625,98.1,159194.0
-13.51067,131.387583,111.7,160144.0
-13.515259,131.392178,108.3,160858.0
-13.52083,131.39702,114.2,161669.0
-13.52126,131.39738,114.0,161731.0
-13.522253,131.39824,115.1,161876.0
-13.52275,131.39867,115.0,161948.0
-13.523,131.39889,115.1,161985.0
-13.523847,131.39963,113.8,162108.0
-13.533028,131.408698,135.9,163527.0
-13.534212,131.410025,135.6,163722.0
-13.540229,131.416778,160.0,164714.0
-13.541433,131.418129,155.1,164912.0
-13.543238,131.420155,161.0,165209.0
-13.54469,131.42176,159.0,165447.0
-13.54583,131.42278,159.7,165615.0
-13.546385,131.423195,159.3,165691.0
-13.54774,131.42407,160.0,165870.0
-13.55471,131.42684,145.1,166703.0
-13.55501,131.42702,146.4,166742.0
-13.55586,131.42761,144.6,166856.0
-13.55624,131.42792,144.8,166910.0
-13.55653,131.42817,144.7,166952.0
-13.55685,131.42849,145.3,167002.0
-13.55847,131.43053,136.9,167288.0
-13.55941,131.43225,140.8,167501.0
-13.56473,131.43786,125.5,168366.0
-13.56516,131.43806,125.8,168419.0
-13.57137,131.44092,112.5,169180.0
-13.574236,131.443415,119.0,169598.0
-13.575474,131.444545,118.6,169782.0
-13.576093,131.44511,119.0,169874.0
-13.5791,131.44821,111.3,170349.0
-13.58172,131.45458,128.0,171106.0
-13.58189,131.45568,126.8,171227.0
-13.58227,131.45827,135.5,171510.0
-13.58132,131.462,125.3,171933.0
-13.57798,131.46582,150.9,172492.0
-13.5759,131.46886,131.5,172896.0
-13.57136,131.47214,149.5,173515.0
-13.57086,131.47265,146.9,173593.0
-13.57033,131.47331,150.2,173686.0
-13.57016,131.47356,149.7,173719.0
-13.56918,131.47543,153.6,173949.0
-13.56922,131.48186,143.3,174658.0
-13.56996,131.49088,187.8,175648.0
-13.57021,131.49135,187.1,175706.0
-13.57088,131.4923,192.9,175833.0
-13.57117,131.49261,192.6,175879.0
-13.57141,131.49285,193.1,175917.0
-13.5737,131.49431,183.4,176219.0
-13.57488,131.49463,184.7,176355.0
-13.58524,131.49565,164.6,177521.0
-13.58901,131.49833,172.1,178035.0
-13.59069,131.50082,167.0,178364.0
-13.59209,131.50394,174.8,178736.0
-13.593262,131.50664,172.2,179056.0
-13.593964,131.50825,175.6,179247.0
-13.594666,131.50986,174.6,179437.0
-13.596394,131.513826,180.1,179908.0
-13.597689,131.516811,175.2,180261.0
-13.598013,131.517558,176.5,180350.0
-13.59929,131.52041,171.7,180690.0
-13.60027,131.52199,175.3,180893.0
-13.60098,131.52293,172.7,181022.0
